name,id,source,count
Kappa,25,fp,394
HeyGuys,30259,fp,156
PogChamp,305954156,fp,457
<3,555555584,fp,5524
blastVit_HF,emotesv2_97f039bc2c464817ac0270613c48be23_HF,fp,612
forsenE,521050,fp,205
TehePelo,160404,fp,90
VoteYea,106293,fp,149
blastVit,emotesv2_97f039bc2c464817ac0270613c48be23,fp,1282
blastWorldfinal,emotesv2_3caf5ae8349f43b388eb0058664f20a2,fp,1616
KonCha,160400,fp,16
ResidentSleeper,245,fp,809
Shush,emotesv2_819621bcb8f44566a1bd8ea63d06c58f,fp,103
TPFufun,508650,fp,33
LUL,425618,fp,4114
:),1,fp,281
SUBprise,emotesv2_fcbeed664f7c47d6ba3b57691275ef51,fp,74
SMOrc,52,fp,158
FallCry,emotesv2_2734f1a85677416a9d8f846a2d1b4721,fp,15
TTours,38436,fp,347
blastLiquid,emotesv2_2de3376a93bc4b2ca55c5b4e44cff36c,fp,165
blastBLUME,301480433,fp,193
BrainSlug,115233,fp,20
CurseLit,116625,fp,61
NotLikeThis,58765,fp,330
blastEhhno,emotesv2_8571898570b0495bb36ac91cfc850222,fp,197
BibleThump,86,fp,1159
BabyRage,22639,fp,184
WutFace,28087,fp,1150
OpieOP,100590,fp,15
FailFish,360,fp,43
SeemsGood,64138,fp,323
GivePLZ,112291,fp,45
TakeNRG,112292,fp,41
FortOne,822112,fp,26
:O,555555580,fp,54
PixelBob,1547903,fp,13
blastFalleN,1547483,fp,232
SeriousSloth,81249,fp,126
blastYikes,emotesv2_3d606ae9f1c74dd1afbe765d150c82df,fp,200
blastAst,emotesv2_19af57b1ba6d4c31b762b960d9db9bad,fp,162
:D,555555560,fp,186
blastG2,emotesv2_7581466c85d24827af152967ed47811d,fp,203
blastNAVI,emotesv2_400b889a9fb54477a2dfb680570b6607,fp,243
SSSsss,46,fp,38
:(,555555558,fp,181
blastVit_TK,emotesv2_97f039bc2c464817ac0270613c48be23_TK,fp,251
;),555555589,fp,13
blastKnuckle,emotesv2_81284b40d0c646b0a5a9359b1d48a916,fp,15
blastLetsgo,emotesv2_9f4e3442509d4fa98076824771698b9c,fp,31
blastFace,emotesv2_0599194318c94867ab6e74505446e7ac,fp,16
ohneGold,307661848,fp,13
4Head,354,fp,213
GlitchCat,304486301,fp,85
PogBones,emotesv2_30050f4353aa4322b25b6b044703e5d1,fp,103
Squid1,191762,fp,78
Squid3,191764,fp,80
Squid2,191763,fp,76
Squid4,191767,fp,84
blastNIP,emotesv2_7789ede3623944c49cc8545b4c3903d5,fp,136
MercyWing1,1003187,fp,59
MercyWing2,1003189,fp,61
PowerUpL,425688,fp,58
PowerUpR,425671,fp,59
B),555555577,fp,14
FallWinning,emotesv2_dee4ecfb7f0940bead9765da02c57ca9,fp,49
FallHalp,emotesv2_7f9b025d534544afaf679e13fbd47b88,fp,14
VoHiYo,81274,fp,71
EleGiggle,4339,fp,38
GayPride,307827321,fp,36
otpFrance,307078638,fp,15
HahaBall,301112669,fp,24
krlZywoo,1714070,fp,29
blastHeroic,emotesv2_e7f278f7a6644b5f9c60dab6b003fffe,fp,185
blastPimp,emotesv2_c1c40152d5dc4a32b61b9f583f2d4f66,fp,247
SwiftRage,34,fp,128
forsenKUKLE,emotesv2_0cb16abc3c994004b7aa536ad350d5a1,fp,20
forsenSmug,304412445,fp,15
KappaPride,55338,fp,359
blastNAVI_BW,emotesv2_400b889a9fb54477a2dfb680570b6607_BW,fp,13
CaitlynS,emotesv2_4acac638cffb4db49f376059f7077dae,fp,12
blastVit_SQ,emotesv2_97f039bc2c464817ac0270613c48be23_SQ,fp,61
OhMyDog,81103,fp,23
TheIlluminati,145315,fp,60
RaccAttack,114870,fp,15
krlApex,306563999,fp,23
FBCatch,1441281,fp,37
DansGame,33,fp,93
:/,555555585,fp,15
FUNgineer,244,fp,17
BrokeBack,4057,fp,41
StinkyCheese,90076,fp,30
BloodTrail,69,fp,77
FBBlock,1441276,fp,61
TwitchUnity,196892,fp,47
FutureMan,98562,fp,27
SabaPing,160402,fp,22
PoroSad,emotesv2_4c39207000564711868f3196cc0a8748,fp,51
DendiFace,58135,fp,16
WhySoSerious,emotesv2_1fda4a1b40094c93af334f8b60868a7c,fp,12
blastVit_SG,emotesv2_97f039bc2c464817ac0270613c48be23_SG,fp,266
NewRecord,emotesv2_53f6a6af8b0e453d874bbefee49b3e73,fp,34
blastGambit,emotesv2_22a7bd609dc3476198a7fe472fcb87d6,fp,155
Jebaited,114836,fp,210
DarkKnight,emotesv2_d9567e500d78441793bee538dcabc1da,fp,14
KAPOW,133537,fp,17
LuvSign,301396453,fp,24
forsenH,115996,fp,22
MingLee,68856,fp,106
CoolStoryBob,123171,fp,18
GlitchLit,304489128,fp,33
<3,483,fp,22
MrDestructoid,28,fp,27
DatSheffy,111700,fp,42
gaulesGaben,307213710,fp,66
rlewisBANKS,emotesv2_67d77f709d0945adaec87b11f4de1850,fp,41
blastFalleN_TK,1547483_TK,fp,15
LionOfYara,emotesv2_adfadf0ae06a4258adc865761746b227,fp,19
KomodoHype,81273,fp,49
HSWP,446979,fp,37
<3,445,fp,39
chunch14JAM,emotesv2_5029dcdfc3cf4cf5b061897229777b34,fp,21
OSFrog,81248,fp,26
StinkyGlitch,304486324,fp,14
MaxLOL,1290325,fp,18
krlLove,1367808,fp,14
xqcL,1035663,fp,53
krlFumig,emotesv2_f9439678b65943d5b34aba197957c8ed,fp,15
forsenBoys,31097,fp,34
MyAvatar,emotesv2_c0c9c932c82244ff920ad2134be90afb,fp,28
gaulesBr,301056197,fp,13
forsenKek,684688,fp,14
xqcCheer,emotesv2_d9dc5705d728493ebf3f0ae0be3fc578,fp,33
blastPimp_TK,emotesv2_c1c40152d5dc4a32b61b9f583f2d4f66_TK,fp,13
chunch14Wow,emotesv2_bc7047913b974772b369995365f986a2,fp,79
Lechonk,emotesv2_665235901db747b1bd395a5f1c0ab8a9,fp,17
juanKEKW,305506033,fp,13
EntropyWins,376765,fp,13
PunchTrees,47,fp,27
HungryPaimon,emotesv2_535e40afa0b34a9481997627b1b47d96,fp,15
rbrlGoFR,emotesv2_a669ce4f36004989a5a3b3fa27e40172,fp,18
MorphinTime,156787,fp,15
bleedPurple,62835,fp,28
chunch14Okay,emotesv2_91099a771ce94cf8a5f9bf6889f6f7f2,fp,16
forsenBased,304412430,fp,17
blastNAVI_TK,emotesv2_400b889a9fb54477a2dfb680570b6607_TK,fp,17
PotFriend,emotesv2_e02650251d204198923de93a0c62f5f5,fp,27
blastNAVI_SG,emotesv2_400b889a9fb54477a2dfb680570b6607_SG,fp,15
otpVIT,emotesv2_154ec4fca467417ebf7c03b2aa0a44c9,fp,22
forsen1,116051,fp,100
forsen2,116052,fp,40
Keepo,1902,fp,16
DoritosChip,102242,fp,22
forsen3,116053,fp,20
FortBush,822126,fp,13
VirtualHug,301696583,fp,25
ModLove,emotesv2_a2dfbbbbf66f4a75b0f53db841523e6c,fp,19
CorgiDerp,49106,fp,22
btscsgoChickenpog,302659334,fp,40
shyyRave,emotesv2_22be1d350e8f4f8792506cc6405e836a,fp,14
nlnlSunBaby,emotesv2_a943af5cf70b425c8ec8009f53d2b85d,fp,32
CoolCat,58127,fp,22
HypePopcorn,emotesv2_7b8e74be7bd64601a2608c2ff5f6eb7a,fp,13
forsenMODS,emotesv2_93c0aa2b0d1f4ab0825a3c83ece9b200,fp,18
ironmousePOGGERS,302551143,fp,13
blastVit_BW,emotesv2_97f039bc2c464817ac0270613c48be23_BW,fp,14
forsen4,116055,fp,18
mikkiv1Rave,emotesv2_da61dcd1078f4ddba5a5a25d8bcf6341,fp,22
:tf:,54fa8f1401e468494b85b537,tp,186
CiGrip,54fa8fce01e468494b85b53c,tp,65
GabeN,54fa90ba01e468494b85b543,tp,1851
AngelThump,566ca1a365dbbdab32ec055b,tp,15
D:,55028cd2135896936880fdd7,tp,961
KKona,566ca04265dbbdab32ec054a,tp,29
haHAA,555981336ba1901877765555,tp,101
FeelsBadMan,566c9fc265dbbdab32ec053b,tp,111
bUrself,566c9f3b65dbbdab32ec052e,tp,31
FeelsGoodMan,566c9fde65dbbdab32ec053e,tp,55
NaM,566ca06065dbbdab32ec054e,tp,36
LuL,567b00c61ddbe1786688a633,tp,56
monkaS,56e9f494fff3cc5c35e5287e,tp,180
VapeNation,56f5be00d48006ba34f530a4,tp,19
FeelsAmazingMan,5733ff12e72c3c0814233e20,tp,16
Wowee,58d2e73058d8950a875ad027,tp,21
Clap,55b6f480e66682f576dd94f5,tp,2290
EZ,5590b223b344e2c42a9e28e3,tp,1815
TeaTime,56f6eb647ee3e8fc6e4fe48e,tp,37
nymnCorn,56cb56f5500cb4cf51e25b90,tp,84
pepeMeltdown,5ba84271c9f0f66a9efc1c86,tp,43
Clap2,58484835f52be01a7ee5f11b,tp,32
AlienPls,5fb693ca2d6c386f224a0b74,tp,18
catJAM,5f1b0186cf6d2144653d2970,tp,234
NODDERS,5eadf40074046462f7687d0f,tp,42
NOPERS,5ec39a9db289582eef76f733,tp,33
peepoClap,60c4c60ef8b3f62601c3cc03,tp,58
pepeD,6197bc1854f3344f88065a4d,tp,29
monkaHmm,613bdfdf4b0ce9183035aef4,tp,64
pepeJAMMER,5baa5b59f17b9f6ab0f3e84f,tp,65
Pog,210748,tp,5144
cinnamontoastF,447565,tp,16
widepeepoHappy,270930,tp,94
widepeepoSad,303899,tp,45
AYAYA,162146,tp,373
FeelsOkayMan,450530,tp,39
FeelsStrongMan,585292,tp,2276
FeelsWeirdMan,131597,tp,44
FeelsWeirdManW,208616,tp,32
HYPERS,236895,tp,59
LULW,139407,tp,1542
monkaH,201362,tp,15
monkaMEGA,157576,tp,37
monkaW,214681,tp,742
OMEGALUL,128054,tp,2645
PauseChamp,557676,tp,871
PeepoGlad,244322,tp,17
peepoLove,250614,tp,22
PepeHands,231552,tp,62
PepeLaugh,263833,tp,244
PepoThink,174942,tp,275
POGGERS,259306,tp,195
KEKW,505187,tp,5726
POGGIES,257284,tp,61
widepeepoGlad,341500,tp,30
Clueless,670425,tp,83
Gigachad,354434,tp,1705
Aware,676592,tp,470
COPIUM,563443,tp,136
HUH,660211,tp,304
WutFaceW,264427,tp,17
WICKED,457124,tp,18
monkaEyes,268204,tp,14
RainTime,61159e9903dae26bc706eaa6,tp,24
PETPET,6128ed55a50c52b1429e09dc,tp,21
PartyParrot,6185d97a8d50b5f26ee802fb,tp,36
ApuApustaja,62589908caeec18915c90a9b,tp,16
Gayge,6297ed14d1b61557a52b21cb,tp,194
YEAHBUT7TV,62fa9b8a589348b4bf5a0cb9,tp,14
BillyApprove,630379cc146e50911495d1f9,tp,24
WAYTOODANK,62e5d3fb05e2ed080d607eba,tp,148
peepoHappy,63018e81f7723932b45bff60,tp,19
peepoSad,63019cd97f31c2c757a21162,tp,28
knaDyppaHopeep,63045f7dd9bf10a26e1a1d02,tp,24
AlienDance,630393c6dd2e5e55608ef9f6,tp,30
BasedGod,63071aeeb7e5a120600a432a,tp,20
FeelsDankMan,63071bb9464de28875c52531,tp,80
forsenPls,6306613d449e6f5ff95cb5ff,tp,48
gachiGASM,63065ef00e929d2fde44db51,tp,23
RareParrot,63071ba3449e6f5ff95cca6d,tp,16
gachiBASS,63066409170b2d3c2cfc53f1,tp,119
Stare,60e5d610a69fc8d27f2737b7,tp,362
